Date,Open,High,Low,Close,Volume,Market Cap,EOD_Return
2018-02-01,"10,237.30","10,288.80","8,812.28","9,170.54","9,959,400,448","154,428,564,694",-0.10278
2018-02-02,"9,142.28","9,142.28","7,796.49","8,830.75","12,726,899,712","148,725,283,812",-0.03705
2018-02-03,"8,852.12","9,430.75","8,251.63","9,174.91","7,263,790,080","154,540,000,411",0.03897
2018-02-04,"9,175.70","9,334.87","8,031.22","8,277.01","7,073,549,824","139,433,682,759",-0.09786
2018-02-05,"8,270.54","8,364.84","6,756.68","6,955.27","9,285,289,984","117,184,385,122",-0.15969
2018-02-06,"7,051.75","7,850.70","6,048.26","7,754.00","13,999,800,320","130,658,094,648",0.11484
2018-02-07,"7,755.49","8,509.11","7,236.79","7,621.30","9,169,280,000","128,435,001,186",-0.01711
2018-02-08,"7,637.86","8,558.77","7,637.86","8,265.59","9,346,750,464","139,306,699,929",0.08454
2018-02-09,"8,271.84","8,736.98","7,884.71","8,736.98","6,784,820,224","147,266,052,809",0.05703
2018-02-10,"8,720.08","9,122.55","8,295.47","8,621.90","7,780,960,256","145,341,842,785",-0.01317
2018-02-11,"8,616.13","8,616.13","7,931.10","8,129.97","6,122,189,824","137,064,586,975",-0.05706
2018-02-12,"8,141.43","8,985.92","8,141.43","8,926.57","6,256,439,808","150,513,128,412",0.09798
2018-02-13,"8,926.72","8,958.47","8,455.41","8,598.31","5,696,719,872","144,995,984,203",-0.03677
2018-02-14,"8,599.92","9,518.54","8,599.92","9,494.63","7,909,819,904","160,131,558,835",0.10424
2018-02-15,"9,488.32","10,234.80","9,395.58","10,166.40","9,062,540,288","171,477,807,437",0.07075
2018-02-16,"10,135.70","10,324.10","9,824.82","10,233.90","7,296,159,744","172,637,061,144",0.00664
2018-02-17,"10,207.50","11,139.50","10,149.40","11,112.70","8,660,880,384","187,482,083,882",0.08587
2018-02-18,"11,123.40","11,349.80","10,326.00","10,551.80","8,744,009,728","178,040,648,022",-0.05047
2018-02-19,"10,552.60","11,273.80","10,513.20","11,225.30","7,652,089,856","189,426,791,571",0.06383
2018-02-20,"11,231.80","11,958.50","11,231.80","11,403.70","9,926,540,288","192,457,815,912",0.01589
2018-02-21,"11,372.20","11,418.50","10,479.10","10,690.40","9,405,339,648","180,442,459,820",-0.06255
2018-02-22,"10,660.40","11,039.10","9,939.09","10,005.00","8,040,079,872","168,892,273,935",-0.06411
2018-02-23,"9,937.07","10,487.30","9,734.56","10,301.10","7,739,500,032","173,909,350,860",0.0296
2018-02-24,"10,287.70","10,597.20","9,546.97","9,813.07","6,917,929,984","165,687,799,108",-0.04738
2018-02-25,"9,796.42","9,923.22","9,407.06","9,664.73","5,706,939,904","163,204,062,358",-0.01512
2018-02-26,"9,669.43","10,475.00","9,501.73","10,366.70","7,287,690,240","175,076,064,010",0.07263
2018-02-27,"10,393.90","10,878.50","10,246.10","10,725.60","6,966,179,840","181,158,869,820",0.03462
2018-02-28,"10,687.20","11,089.80","10,393.10","10,397.90","6,936,189,952","175,644,310,997",-0.03055
2018-03-01,"10,385.00","11,052.30","10,352.70","10,951.00","7,317,279,744","185,009,753,075",0.05319
2018-03-02,"10,977.40","11,189.00","10,850.10","11,086.40","7,620,590,080","187,318,996,197",0.01236
2018-03-03,"11,101.90","11,528.20","11,002.40","11,489.70","6,690,570,240","194,159,120,569",0.03638
2018-03-04,"11,497.40","11,512.60","11,136.10","11,512.60","6,084,149,760","194,567,395,376",0.00199
2018-03-05,"11,532.40","11,704.10","11,443.90","11,573.30","6,468,539,904","195,614,809,925",0.00527
2018-03-06,"11,500.10","11,500.10","10,694.30","10,779.90","6,832,169,984","182,225,316,082",-0.06855
2018-03-07,"10,803.90","10,929.50","9,692.12","9,965.57","8,797,910,016","168,479,670,395",-0.07554
2018-03-08,"9,951.44","10,147.40","9,335.87","9,395.01","7,186,089,984","158,852,238,332",-0.05725
2018-03-09,"9,414.69","9,466.35","8,513.03","9,337.55","8,704,190,464","157,898,203,939",-0.00612
2018-03-10,"9,350.59","9,531.32","8,828.47","8,866.00","5,386,319,872","149,939,797,150",-0.0505
2018-03-11,"8,852.78","9,711.89","8,607.12","9,578.63","6,296,370,176","162,009,710,243",0.08038
2018-03-12,"9,602.93","9,937.50","8,956.43","9,205.12","6,457,399,808","155,710,928,717",-0.03899
2018-03-13,"9,173.04","9,470.38","8,958.19","9,194.85","5,991,139,840","155,555,594,312",-0.00112
2018-03-14,"9,214.65","9,355.85","8,068.59","8,269.81","6,438,230,016","139,920,843,550",-0.1006
2018-03-15,"8,290.76","8,428.35","7,783.05","8,300.86","6,834,429,952","140,460,819,364",0.00375
2018-03-16,"8,322.91","8,585.15","8,005.31","8,338.35","5,289,379,840","141,111,773,179",0.00452
